entity,model,positive_rate,model_point_f1,model_pa_f1,random_point_f1,random_pa_f1,pa_inflation,random_pa_inflation
synthetic,random,0.274,0.12345679012345677,0.2824858757062147,0.07973421926910298,0.2949852507374631,0.1590290855827579,0.21525103146836014
synthetic,random,0.311,0.10526315789473684,0.25510204081632654,0.09890109890109891,0.25252525252525254,0.1498388829215897,0.15362415362415363
synthetic,random,0.697,0.0963855421686747,0.1314060446780552,0.09536423841059603,0.13003901170351104,0.03502050250938049,0.034674773292915004
synthetic,zscore,0.05,1.0,1.0,0.10526315789473685,0.7142857142857143,0.0,0.6090225563909775
synthetic,ewma,0.058,0.7592592592592593,0.8547008547008548,0.10416666666666666,0.7092198581560284,0.09544159544159547,0.6050531914893618
synthetic,isolation_forest,0.051,0.99009900990099,0.99009900990099,0.10526315789473685,0.7142857142857143,0.0,0.6090225563909775
synthetic,isolation_forest,0.05,1.0,1.0,0.10309278350515465,0.704225352112676,0.0,0.6011325686075214
synthetic,isolation_forest,0.05,1.0,1.0,0.06741573033707866,0.7352941176470588,0.0,0.6678783873099801
synthetic,pca,0.047,0.9484536082474226,0.99009900990099,0.10638297872340427,0.7194244604316548,0.04164540165356734,0.6130414817082505
synthetic,lstm_ae,0.11,0.625,0.625,0.06944444444444446,0.5291005291005291,0.0,0.4596560846560846
synthetic,lstm_ae,0.11,0.625,0.625,0.13245033112582782,0.5235602094240838,0.0,0.39110987829825594
synthetic,lstm_ae,0.11,0.625,0.625,0.08333333333333333,0.5319148936170213,0.0,0.44858156028368795
synthetic,transformer_ae,0.111,0.6211180124223602,0.6211180124223602,0.06944444444444446,0.5291005291005291,0.0,0.4596560846560846
synthetic,transformer_ae,0.111,0.6211180124223602,0.6211180124223602,0.13071895424836602,0.5181347150259067,0.0,0.3874157607775407
synthetic,transformer_ae,0.111,0.6211180124223602,0.6211180124223602,0.08108108108108107,0.5208333333333333,0.0,0.4397522522522522
